id,bom_id:id,product_id:id,product_qty,product_uom:id
scenario.bom_line106,scenario.bom_141174,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line109,scenario.bom_141175,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line108,scenario.bom_141175,scenario.product_141323,1,product.product_uom_unit
scenario.bom_line72,scenario.bom_141176,scenario.product_141324,1,product.product_uom_unit
scenario.bom_line73,scenario.bom_141176,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line75,scenario.bom_141177,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line74,scenario.bom_141177,scenario.product_141318,1,product.product_uom_unit
scenario.bom_line76,scenario.bom_141178,scenario.product_141320,1,product.product_uom_unit
scenario.bom_line77,scenario.bom_141178,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line79,scenario.bom_141179,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line78,scenario.bom_141179,scenario.product_141322,1,product.product_uom_unit
scenario.bom_line127,scenario.bom_141180,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line126,scenario.bom_141180,scenario.product_141325,1,product.product_uom_unit
scenario.bom_line129,scenario.bom_141181,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line128,scenario.bom_141181,scenario.product_141319,1,product.product_uom_unit
scenario.bom_line131,scenario.bom_141182,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line130,scenario.bom_141182,scenario.product_141321,1,product.product_uom_unit
scenario.bom_line133,scenario.bom_141183,scenario.product_141323,1,product.product_uom_unit
scenario.bom_line134,scenario.bom_141183,scenario.product_141140,1,product.product_uom_unit
scenario.bom_line65,scenario.bom_141184,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line64,scenario.bom_141184,scenario.product_141324,1,product.product_uom_unit
scenario.bom_line66,scenario.bom_141185,scenario.product_141318,1,product.product_uom_unit
scenario.bom_line67,scenario.bom_141185,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line69,scenario.bom_141186,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line68,scenario.bom_141186,scenario.product_141320,1,product.product_uom_unit
scenario.bom_line70,scenario.bom_141187,scenario.product_141322,1,product.product_uom_unit
scenario.bom_line71,scenario.bom_141187,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line119,scenario.bom_141188,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line118,scenario.bom_141188,scenario.product_141325,1,product.product_uom_unit
scenario.bom_line121,scenario.bom_141189,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line120,scenario.bom_141189,scenario.product_141319,1,product.product_uom_unit
scenario.bom_line122,scenario.bom_141190,scenario.product_141321,1,product.product_uom_unit
scenario.bom_line123,scenario.bom_141190,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line125,scenario.bom_141191,scenario.product_141141,1,product.product_uom_unit
scenario.bom_line124,scenario.bom_141191,scenario.product_141323,1,product.product_uom_unit
scenario.bom_line140,scenario.bom_141215,scenario.product_141110,2,product.product_uom_unit
scenario.bom_line141,scenario.bom_141215,scenario.product_141210,1,product.product_uom_unit
scenario.bom_line144,scenario.bom_141216,scenario.product_141208,1,product.product_uom_unit
scenario.bom_line143,scenario.bom_141216,scenario.product_141101,2,product.product_uom_unit
scenario.bom_line145,scenario.bom_141217,scenario.product_141108,2,product.product_uom_unit
scenario.bom_line146,scenario.bom_141217,scenario.product_141209,1,product.product_uom_unit
scenario.bom_line149,scenario.bom_141218,scenario.product_141208,1,product.product_uom_unit
scenario.bom_line166,scenario.bom_141218,scenario.product_141101,2,product.product_uom_unit
scenario.bom_line167,scenario.bom_141219,scenario.product_141108,2,product.product_uom_unit
scenario.bom_line152,scenario.bom_141219,scenario.product_141209,1,product.product_uom_unit
scenario.bom_line155,scenario.bom_141220,scenario.product_141210,1,product.product_uom_unit
scenario.bom_line154,scenario.bom_141220,scenario.product_141110,2,product.product_uom_unit
scenario.bom_line169,scenario.bom_141291,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line168,scenario.bom_141291,scenario.product_141286,1,product.product_uom_unit
scenario.bom_line170,scenario.bom_141292,scenario.product_141287,1,product.product_uom_unit
scenario.bom_line171,scenario.bom_141292,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line173,scenario.bom_141293,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line172,scenario.bom_141293,scenario.product_141284,1,product.product_uom_unit
scenario.bom_line174,scenario.bom_141294,scenario.product_141285,1,product.product_uom_unit
scenario.bom_line175,scenario.bom_141294,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line177,scenario.bom_141295,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line176,scenario.bom_141295,scenario.product_141286,1,product.product_uom_unit
scenario.bom_line178,scenario.bom_141296,scenario.product_141287,1,product.product_uom_unit
scenario.bom_line179,scenario.bom_141296,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line181,scenario.bom_141297,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line180,scenario.bom_141297,scenario.product_141284,1,product.product_uom_unit
scenario.bom_line182,scenario.bom_141298,scenario.product_141285,1,product.product_uom_unit
scenario.bom_line183,scenario.bom_141298,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line185,scenario.bom_141299,scenario.product_141289,1,product.product_uom_unit
scenario.bom_line184,scenario.bom_141299,scenario.product_141286,1,product.product_uom_unit
scenario.bom_line186,scenario.bom_141300,scenario.product_141287,1,product.product_uom_unit
scenario.bom_line187,scenario.bom_141300,scenario.product_141290,1,product.product_uom_unit
scenario.bom_line189,scenario.bom_141301,scenario.product_141289,1,product.product_uom_unit
scenario.bom_line188,scenario.bom_141301,scenario.product_141284,1,product.product_uom_unit
scenario.bom_line190,scenario.bom_141302,scenario.product_141285,1,product.product_uom_unit
scenario.bom_line191,scenario.bom_141302,scenario.product_141290,1,product.product_uom_unit
scenario.bom_line193,scenario.bom_141303,scenario.product_141288,1,product.product_uom_unit
scenario.bom_line192,scenario.bom_141303,scenario.product_141286,1,product.product_uom_unit
scenario.bom_line194,scenario.bom_141304,scenario.product_141287,1,product.product_uom_unit
scenario.bom_line195,scenario.bom_141304,scenario.product_141288,1,product.product_uom_unit
scenario.bom_line197,scenario.bom_141305,scenario.product_141288,1,product.product_uom_unit
scenario.bom_line196,scenario.bom_141305,scenario.product_141284,1,product.product_uom_unit
scenario.bom_line198,scenario.bom_141306,scenario.product_141285,1,product.product_uom_unit
scenario.bom_line199,scenario.bom_141306,scenario.product_141288,1,product.product_uom_unit
scenario.bom_line200,scenario.bom_141316,scenario.product_141307,2,product.product_uom_unit
scenario.bom_line201,scenario.bom_141316,scenario.product_141308,1,product.product_uom_unit
scenario.bom_line236,scenario.bom_141381,scenario.product_141364,1,product.product_uom_unit
scenario.bom_line230,scenario.bom_141381,scenario.product_141338,1,product.product_uom_unit
scenario.bom_line233,scenario.bom_141381,scenario.product_141332,1,product.product_uom_unit
scenario.bom_line234,scenario.bom_141381,scenario.product_141333,1,product.product_uom_unit
scenario.bom_line231,scenario.bom_141381,scenario.product_141331,1,product.product_uom_unit
scenario.bom_line235,scenario.bom_141381,scenario.product_141347,1,product.product_uom_unit
scenario.bom_line232,scenario.bom_141381,scenario.product_141380,1,product.product_uom_unit
scenario.bom_line208,scenario.bom_141388,scenario.product_141308,1,product.product_uom_unit
scenario.bom_line207,scenario.bom_141388,scenario.product_141307,1,product.product_uom_unit
scenario.bom_line209,scenario.bom_141388,scenario.product_141387,1,product.product_uom_unit
scenario.bom_line211,scenario.bom_141396,scenario.product_141397,1,product.product_uom_unit
scenario.bom_line210,scenario.bom_141396,scenario.product_141394,2,product.product_uom_unit
scenario.bom_line221,scenario.bom_141399,scenario.product_141398,500,product.product_uom_unit
scenario.bom_line214,scenario.bom_141411,scenario.product_141409,1,product.product_uom_unit
scenario.bom_line212,scenario.bom_141411,scenario.product_141268,2,product.product_uom_unit
scenario.bom_line213,scenario.bom_141411,scenario.product_141414,1,product.product_uom_unit
scenario.bom_line215,scenario.bom_141416,scenario.product_141394,3,product.product_uom_unit
scenario.bom_line216,scenario.bom_141416,scenario.product_141419,1,product.product_uom_unit
scenario.bom_line218,scenario.bom_141417,scenario.product_141419,1,product.product_uom_unit
scenario.bom_line217,scenario.bom_141417,scenario.product_141268,3,product.product_uom_unit
scenario.bom_line220,scenario.bom_141418,scenario.product_141419,1,product.product_uom_unit
scenario.bom_line219,scenario.bom_141418,scenario.product_141410,3,product.product_uom_unit
scenario.bom_line229,scenario.bom_141441,scenario.product_141450,1,product.product_uom_unit
scenario.bom_line224,scenario.bom_141441,scenario.product_141436,3,product.product_uom_unit
scenario.bom_line228,scenario.bom_141441,scenario.product_141266,1,product.product_uom_unit
scenario.bom_line245,scenario.bom_141442,scenario.product_141431,3,product.product_uom_unit
scenario.bom_line246,scenario.bom_141442,scenario.product_141422,1,product.product_uom_unit
scenario.bom_line250,scenario.bom_141563,scenario.product_141504,1,product.product_uom_unit
scenario.bom_line251,scenario.bom_141563,scenario.product_141266,1,product.product_uom_unit
scenario.bom_line253,scenario.bom_141564,scenario.product_141266,1,product.product_uom_unit
scenario.bom_line252,scenario.bom_141564,scenario.product_141505,1,product.product_uom_unit
scenario.bom_line257,scenario.bom_141640,scenario.product_141553,1,product.product_uom_unit
scenario.bom_line256,scenario.bom_141640,scenario.product_141504,1,product.product_uom_unit
scenario.bom_line261,scenario.bom_141664,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line260,scenario.bom_141664,scenario.product_141674,1,product.product_uom_unit
scenario.bom_line264,scenario.bom_141665,scenario.product_141675,1,product.product_uom_unit
scenario.bom_line263,scenario.bom_141665,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line266,scenario.bom_141666,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line267,scenario.bom_141666,scenario.product_141674,1,product.product_uom_unit
scenario.bom_line270,scenario.bom_141667,scenario.product_141675,1,product.product_uom_unit
scenario.bom_line269,scenario.bom_141667,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line272,scenario.bom_141668,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line273,scenario.bom_141668,scenario.product_141677,1,product.product_uom_unit
scenario.bom_line276,scenario.bom_141669,scenario.product_141678,1,product.product_uom_unit
scenario.bom_line275,scenario.bom_141669,scenario.product_141138,1,product.product_uom_unit
scenario.bom_line278,scenario.bom_141670,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line279,scenario.bom_141670,scenario.product_141677,1,product.product_uom_unit
scenario.bom_line282,scenario.bom_141671,scenario.product_141678,1,product.product_uom_unit
scenario.bom_line281,scenario.bom_141671,scenario.product_141139,1,product.product_uom_unit
scenario.bom_line1423,scenario.bom_141770,scenario.product_141748,1,product.product_uom_unit
scenario.bom_line1424,scenario.bom_141770,scenario.product_141738,1,product.product_uom_unit
scenario.bom_line1422,scenario.bom_141770,scenario.product_141719,1,product.product_uom_unit
scenario.bom_line1425,scenario.bom_141771,scenario.product_141719,1,product.product_uom_unit
scenario.bom_line1427,scenario.bom_141771,scenario.product_141739,1,product.product_uom_unit
scenario.bom_line1426,scenario.bom_141771,scenario.product_141755,1,product.product_uom_unit
scenario.bom_line1429,scenario.bom_141772,scenario.product_141758,1,product.product_uom_unit
scenario.bom_line1430,scenario.bom_141772,scenario.product_141740,1,product.product_uom_unit
scenario.bom_line1428,scenario.bom_141772,scenario.product_141719,1,product.product_uom_unit
scenario.bom_line1432,scenario.bom_141773,scenario.product_141719,1,product.product_uom_unit
scenario.bom_line1577,scenario.bom_141773,scenario.product_142077,1,product.product_uom_unit
scenario.bom_line1433,scenario.bom_141773,scenario.product_141762,1,product.product_uom_unit
scenario.bom_line1438,scenario.bom_141774,scenario.product_141508,1,product.product_uom_unit
scenario.bom_line1436,scenario.bom_141774,scenario.product_141720,1,product.product_uom_unit
scenario.bom_line1437,scenario.bom_141774,scenario.product_141727,1,product.product_uom_unit
scenario.bom_line1441,scenario.bom_141775,scenario.product_141738,1,product.product_uom_unit
scenario.bom_line1439,scenario.bom_141775,scenario.product_141720,1,product.product_uom_unit
scenario.bom_line1440,scenario.bom_141775,scenario.product_141748,1,product.product_uom_unit
scenario.bom_line1443,scenario.bom_141776,scenario.product_141755,1,product.product_uom_unit
scenario.bom_line1442,scenario.bom_141776,scenario.product_141720,1,product.product_uom_unit
scenario.bom_line1444,scenario.bom_141776,scenario.product_141739,1,product.product_uom_unit
scenario.bom_line1447,scenario.bom_141777,scenario.product_141740,1,product.product_uom_unit
scenario.bom_line1445,scenario.bom_141777,scenario.product_141720,1,product.product_uom_unit
scenario.bom_line1446,scenario.bom_141777,scenario.product_141758,1,product.product_uom_unit
scenario.bom_line1450,scenario.bom_141778,scenario.product_141762,1,product.product_uom_unit
scenario.bom_line1449,scenario.bom_141778,scenario.product_141720,1,product.product_uom_unit
scenario.bom_line1579,scenario.bom_141778,scenario.product_142077,1,product.product_uom_unit
scenario.bom_line1454,scenario.bom_141779,scenario.product_141727,1,product.product_uom_unit
scenario.bom_line1453,scenario.bom_141779,scenario.product_141726,1,product.product_uom_unit
scenario.bom_line1455,scenario.bom_141779,scenario.product_141508,1,product.product_uom_unit
scenario.bom_line1457,scenario.bom_141780,scenario.product_141748,1,product.product_uom_unit
scenario.bom_line1456,scenario.bom_141780,scenario.product_141726,1,product.product_uom_unit
scenario.bom_line1458,scenario.bom_141780,scenario.product_141738,1,product.product_uom_unit
scenario.bom_line1461,scenario.bom_141781,scenario.product_141739,1,product.product_uom_unit
scenario.bom_line1459,scenario.bom_141781,scenario.product_141726,1,product.product_uom_unit
scenario.bom_line1460,scenario.bom_141781,scenario.product_141755,1,product.product_uom_unit
scenario.bom_line1463,scenario.bom_141782,scenario.product_141758,1,product.product_uom_unit
scenario.bom_line1462,scenario.bom_141782,scenario.product_141726,1,product.product_uom_unit
scenario.bom_line1464,scenario.bom_141782,scenario.product_141740,1,product.product_uom_unit
scenario.bom_line1466,scenario.bom_141783,scenario.product_141726,1,product.product_uom_unit
scenario.bom_line1578,scenario.bom_141783,scenario.product_142077,1,product.product_uom_unit
