id,qty_multiple,name,product_uom.id,company_id:id,warehouse_id:id,location_id:id,product_id:id,product_min_qty,product_max_qty
scenario.orderpoint_142934,1,OP/00460,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142934,0,0
scenario.orderpoint_142935,1,OP/00461,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142935,2,3
scenario.orderpoint_142936,1,OP/00462,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142936,1499,2249
scenario.orderpoint_142937,1,OP/00463,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142937,,
scenario.orderpoint_142938,1,OP/00464,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142938,,
scenario.orderpoint_142334,1,OP/00294,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142334,44,126
scenario.orderpoint_142335,1,OP/00295,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142335,44,126
scenario.orderpoint_142482,1,OP/00323,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142482,,
scenario.orderpoint_142552,1,OP/00356,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142552,6,12
scenario.orderpoint_142694,1,OP/00382,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142694,750,1125
scenario.orderpoint_142698,1,OP/00383,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142698,0,0
scenario.orderpoint_142710,1,OP/00384,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142710,200,550
scenario.orderpoint_142711,1,OP/00385,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142711,64,128
scenario.orderpoint_142712,1,OP/00386,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142712,20,45
scenario.orderpoint_142713,1,OP/00387,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142713,0,0
scenario.orderpoint_142714,1,OP/00388,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142714,3,8
scenario.orderpoint_142715,1,OP/00389,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142715,3,6
scenario.orderpoint_142716,1,OP/00390,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142716,1,2
scenario.orderpoint_142733,1,OP/00391,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142733,75,224
scenario.orderpoint_142734,1,OP/00392,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142734,12,36
scenario.orderpoint_142736,1,OP/00393,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142736,,
scenario.orderpoint_142740,1,OP/00394,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142740,1,2
scenario.orderpoint_142743,1,OP/00395,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142743,8,16
scenario.orderpoint_142744,1,OP/00396,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142744,15,29
scenario.orderpoint_142747,1,OP/00397,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142747,0,0
scenario.orderpoint_142748,1,OP/00398,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142748,44,87
scenario.orderpoint_142815,1,OP/00399,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142815,0,0
scenario.orderpoint_142819,1,OP/00400,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142819,0,0
scenario.orderpoint_142831,1,OP/00401,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142831,8,10
scenario.orderpoint_142832,1,OP/00402,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142832,,
scenario.orderpoint_142834,1,OP/00403,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142834,9,17
scenario.orderpoint_142835,1,OP/00404,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142835,51,77
scenario.orderpoint_142836,1,OP/00405,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142836,6,11
scenario.orderpoint_142837,1,OP/00406,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142837,2,4
scenario.orderpoint_142838,1,OP/00407,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142838,2,4
scenario.orderpoint_142839,1,OP/00408,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142839,26,52
scenario.orderpoint_142847,1,OP/00410,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142847,34,101
scenario.orderpoint_142848,1,OP/00411,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142848,30,82
scenario.orderpoint_142888,1,OP/00426,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142888,500,625
scenario.orderpoint_142889,1,OP/00427,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142889,0,0
scenario.orderpoint_142863,1,OP/00419,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142863,20,50
scenario.orderpoint_142864,1,OP/00420,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142864,20,50
scenario.orderpoint_142928,1,OP/00455,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142928,38,57
scenario.orderpoint_142929,1,OP/00456,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142929,5,8
scenario.orderpoint_142930,1,OP/00457,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142930,0,0
scenario.orderpoint_142926,1,OP/00453,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142926,48,60
scenario.orderpoint_142927,1,OP/00454,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142927,24,30
scenario.orderpoint_142939,1,OP/00465,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142939,,
