id,product_tmpl_id:id,product_uom:id,product_qty,active
scenario.bom_141920,scenario.product_141920,product.product_uom_unit,1,true
scenario.bom_141921,scenario.product_141921,product.product_uom_unit,1,true
scenario.bom_141922,scenario.product_141922,product.product_uom_unit,1,true
scenario.bom_141923,scenario.product_141923,product.product_uom_unit,1,true
scenario.bom_141924,scenario.product_141924,product.product_uom_unit,1,true
scenario.bom_141925,scenario.product_141925,product.product_uom_unit,1,true
scenario.bom_141926,scenario.product_141926,product.product_uom_unit,1,true
scenario.bom_141927,scenario.product_141927,product.product_uom_unit,1,true
scenario.bom_141928,scenario.product_141928,product.product_uom_unit,1,true
scenario.bom_141929,scenario.product_141929,product.product_uom_unit,1,true
scenario.bom_141901,scenario.product_141901,product.product_uom_unit,1,true
scenario.bom_141962,scenario.product_141962,product.product_uom_unit,1,true
scenario.bom_141963,scenario.product_141963,product.product_uom_unit,1,true
scenario.bom_141964,scenario.product_141964,product.product_uom_unit,1,true
scenario.bom_141965,scenario.product_141965,product.product_uom_unit,1,true
scenario.bom_141966,scenario.product_141966,product.product_uom_unit,1,true
scenario.bom_141902,scenario.product_141902,product.product_uom_unit,1,true
scenario.bom_141967,scenario.product_141967,product.product_uom_unit,1,true
scenario.bom_141968,scenario.product_141968,product.product_uom_unit,1,true
scenario.bom_141970,scenario.product_141970,product.product_uom_unit,1,true
scenario.bom_141971,scenario.product_141971,product.product_uom_unit,1,true
scenario.bom_141972,scenario.product_141972,product.product_uom_unit,1,true
scenario.bom_141903,scenario.product_141903,product.product_uom_unit,1,true
scenario.bom_141973,scenario.product_141973,product.product_uom_unit,1,true
scenario.bom_141974,scenario.product_141974,product.product_uom_unit,1,true
scenario.bom_141975,scenario.product_141975,product.product_uom_unit,1,true
scenario.bom_141976,scenario.product_141976,product.product_uom_unit,1,true
scenario.bom_141904,scenario.product_141904,product.product_uom_unit,1,true
scenario.bom_141905,scenario.product_141905,product.product_uom_unit,1,true
scenario.bom_141906,scenario.product_141906,product.product_uom_unit,1,true
