id,name,user_id:id,date_start,date_end,street,zip,city,stage_id:id,build_type,project_type_id:id
scenario.buildingproject_-2142373417,Spital Murten (Arge See Lac),scenario.res_users_mle,2015-04-22,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142373073,Neubau Cérès Tower Pratteln,scenario.res_users_fbo,2015-04-22,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142372385,MFH Oberi Quadera,scenario.res_users_mka,2015-04-23,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142372381,MFH Prättigau,scenario.res_users_mka,2015-04-23,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142372352,"Am Balsberg 34, 8302 Kloten",scenario.res_users_fbo,2015-04-23,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142371938,Treppenhaus U22,scenario.res_users_mle,2015-04-24,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142371881,RK,scenario.res_users_fbo,2015-04-24,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142371861,"SOCGEN, 8 Rue du Rhòne, Genève",scenario.res_users_mse,2015-04-24,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142371431,EWZ Pfingstweidstr 85,scenario.res_users_dla,2015-04-24,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142370408,Tablastrasse 30-30B,scenario.res_users_fbo,2015-04-27,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142370238,Dreifachturnhalle ,scenario.res_users_mle,2015-04-27,,,,,specific_building_project.stage_submission,,
scenario.buildingproject_-2142370198,Ceres Tower,scenario.res_users_rhu,2015-04-27,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142368673,Elektroplanet,scenario.res_users_rhu,2015-04-17,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142367875,Campus Schwarzsee,scenario.res_users_fbo,2015-04-29,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142367309,34091 Generali,scenario.res_users_dla,2015-04-18,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142364321,131320012 Neubau AWZ,scenario.res_users_rhu,2015-05-04,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142364198,APTK Weinfelden,scenario.res_users_mka,2015-05-04,,,,,specific_building_project.stage_submission,,specific_building_project.type_hospital
scenario.buildingproject_-2142363662,"Sammelofferte WÜB Roy, Im Stückler / Tramstrasse Oerlikon ",scenario.res_users_rhu,2015-05-05,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142363394,Amselweg Rupperswil,scenario.res_users_fbo,2015-05-05,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142362622,"Unterer Rheinweg 104, Basel ",scenario.res_users_rhu,2015-05-06,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142361724,"La Madonnina, Vacallo",scenario.res_users_sgi,2015-05-06,,,,,specific_building_project.stage_submission,,
scenario.buildingproject_-2142360960,Surbgasse,scenario.res_users_dla,2015-05-07,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142360744,"Soluma, Rheinfelden",scenario.res_users_rhu,2015-05-07,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142360600,1 familienhaus martin huber,scenario.res_users_rhu,2015-05-07,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142360598,Einfamilienhaus Martin Huber,scenario.res_users_rhu,2015-05-07,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142360577,"WÜB Sonnenberg, Abtwil",scenario.res_users_mka,2015-05-07,,,,,specific_building_project.stage_won_realisation,,
scenario.buildingproject_-2142359808,"13180033, Rathaus Altstätten",scenario.res_users_mka,2015-05-08,,,,,specific_building_project.stage_won_realisation,,specific_building_project.type_office
scenario.buildingproject_-2142359752,"210676.001, Freihof Altstätten",scenario.res_users_mka,2015-05-08,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142359558,Anfrage,scenario.res_users_dla,2015-05-08,,,,,specific_building_project.stage_closed,,
scenario.buildingproject_-2142358463,Wohnbaugenossenschaft Männedorf,scenario.res_users_dla,2015-05-11,,,,,specific_building_project.stage_acquisiton,,
scenario.buildingproject_-2142357814,Ecoquartier Jonction,scenario.res_users_sgi,2015-05-12,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142357644,"ARC Center, Bureaux BG, 100213",scenario.res_users_mse,2015-05-12,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142357247,St Augustin,scenario.res_users_sgi,2015-05-12,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142356530,"111102.001 / Büelrain Stadthausstrasse 21,31",scenario.res_users_fbo,,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142355680,Valouest,scenario.res_users_mse,2015-05-15,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142353911,Les Platanes,scenario.res_users_mse,2015-05-18,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142353691,PMS Guyerbauten,scenario.res_users_mka,,,,,,specific_building_project.stage_acquisiton,,
scenario.buildingproject_-2142352905,Dali-Projekt Regent 530x PD9 Dali,scenario.res_users_rhu,,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142352861,110577.064 / Neubau Schule Kestenholz,scenario.res_users_mle,2015-05-19,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142352760,"Neubau Heer, Bäumliackerstrasse, 8552 Felben-Wellhausen ",scenario.res_users_rhu,2015-05-19,,,,,specific_building_project.stage_won_completed,,
