id,name,description,active,default_code,categ_id:id,list_price,standard_price,weight,taxes_id,property_account_income_id,property_account_expense_id,type,state,uom_id:id,valuation
scenario.product_151403,Indoor 180 CM Minuterie SID/AN,"Bewegungsmelder für Minuterien, 2 Leiter, Design Sidus, anthrazit",TRUE,151403,scenario.product_category_R201_001,146.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151404,PD2 S 180 CM Master 2C SID/AL,"Präsenzmelder 2-Kanal, Design Sidus, alu",TRUE,151404,scenario.product_category_R201_002,181.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151405,PD2 S 180 CM Slave SID/AL,"Präsenzmelder Slave, Design Sidus, alu",TRUE,151405,scenario.product_category_R201_002,151.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151406,PD2 S 180 CM 12-48V SID/AL,"Präsenzmelder 12V-24V-48V, Design Sidus, alu",TRUE,151406,scenario.product_category_R201_002,189.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151407,PD2 S 180 CM KNX SID/AL,"Präsenzmelder KNX, Design Sidus, alu",TRUE,151407,scenario.product_category_R201_002,298.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151408,Indoor 180 CM Kombi 2L SID/AL,"Bewegungsmelder 10A, 2L Schema 0, Design Sidus, alu",TRUE,151408,scenario.product_category_R201_001,198.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151409,PD2 S 180 CM Master 1C SID/AL,"Präsenzmelder 1-Kanal, Design Sidus, alu",TRUE,151409,scenario.product_category_R201_002,161.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151410,Indoor 180 CM Kombi SID/AL,"Bewegungsmelder 10A, Design Sidus, alu",TRUE,151410,scenario.product_category_R201_001,156.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151411,Indoor 180 CM Minuterie SID/AL,"Bewegungsmelder für Minuterien, 2 Leiter, Design Sidus, alu",TRUE,151411,scenario.product_category_R201_001,146.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151412,PD2 S 180 CM Master 2C SOL/WG,"Präsenzmelder 2-Kanal, Design Solfà, weiss-glanz",TRUE,151412,scenario.product_category_R201_002,181.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151413,PD2 S 180 CM Slave SOL/WG,"Präsenzmelder Slave, Design Solfà, weiss-glanz",TRUE,151413,scenario.product_category_R201_002,151.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151414,PD2 S 180 CM 12-48V SOL/WG,"Präsenzmelder 12V-24V-48V, Design Solfà, weiss-glanz",TRUE,151414,scenario.product_category_R201_002,189.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151415,PD2 S 180 CM KNX SOL/WG,"Präsenzmelder KNX, Design Solfà, weiss-glanz",TRUE,151415,scenario.product_category_R201_002,298.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151416,Indoor 180 CM Kombi 2L SOL/WG,"Bewegungsmelder 10A, 2L Schema 0, Design Solfà, weiss-glanz",TRUE,151416,scenario.product_category_R201_001,198.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151417,PD2 S 180 CM Master 1C SOL/WG,"Präsenzmelder 1-Kanal, Design Solfà, weiss-glanz",TRUE,151417,scenario.product_category_R201_002,161.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151418,Indoor 180 CM Kombi SOL/WG,"Bewegungsmelder 10A, Design Solfà, weiss-glanz",TRUE,151418,scenario.product_category_R201_001,156.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151419,Indoor 180 CM Minuterie SOL/WG,"Bewegungsmelder für Minuterien, 2 Leiter, Design Solfà, weiss-glanz",TRUE,151419,scenario.product_category_R201_001,146.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151420,PD2 S 180 CM Master 2C STA/S,"Präsenzmelder 2-Kanal, Design Standard, schwarz",TRUE,151420,scenario.product_category_R201_002,181.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151421,PD2 S 180 CM Slave STA/S,"Präsenzmelder Slave, Design Standard, schwarz",TRUE,151421,scenario.product_category_R201_002,151.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151422,PD2 S 180 CM 12-48V STA/S,"Präsenzmelder 12V-24V-48V, Design Standard, schwarz",TRUE,151422,scenario.product_category_R201_002,189.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
