id,name,active,default_code,categ_id:id,purchase_ok,sale_ok,can_be_expensed,list_price,standard_price,property_account_expense_id,supplier_taxes_id,property_account_income_id,taxes_id,type,state,uom_id:id
scenario.exp_product_0033,Sonstige Werbespesen ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0034,Sonstige Werbespesen mit MWST 2.5 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 2.5% sur invest. et autres ch. (Incl. TR),,,product,sellable,product.product_uom_unit
scenario.exp_product_0035,Sonstige Werbespesen mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0036,Privat MGL ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0037,Privat RGL ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0038,Privat PGL ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0039,Privat SKU ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0040,Privat MWY ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0041,Privat RMO ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0042,Privat BSC ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0043,Privat RHU ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0044,Privat DLA ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0045,Privat MKA ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
