id,name,street,zip,city,date_start,date_end,user_id/id,building_project_tag_ids,project_type_id,build_state,build_type
slx_dataimport.buildingproject_-2144261558,"Gewerbehaus Von Allmen, Pfäffikon",,,,2006-09-04,2009-12-31,scenario.res_users_rgl,,"Öffentliche Bauten, Kultur",request,new
slx_dataimport.buildingproject_-2144261556,"Objekt: EFH Meier, Offerte: 2055157, 2055235",,,,2006-08-15,2009-12-31,scenario.res_users_pgl,Lead aus Ineltec 2015,Wohnbauten,,conversion
slx_dataimport.buildingproject_-2144261554,"Objekt: ?, Offerte 2055482",,,,2006-09-15,2009-12-31,scenario.res_users_cfr,Minergie-zertifiziert,Wohnbauten,,
slx_dataimport.buildingproject_-2144261552,"Objekt: ?, Offerte 2055510",,,,2006-09-15,2009-12-31,scenario.res_users_cfr,Referenz-Projekt,Wohnbauten,,
slx_dataimport.buildingproject_-2144261550,"Objekt: ?, Offerte 2055098",,,,2006-09-18,2009-12-31,scenario.res_users_cfr,"Minergie-zertifiziert,Referenz-Projekt",Industrie und Gewerbe,,
slx_dataimport.buildingproject_-2144261548,"Objekt: ?, Offerte 2054421",,,,2006-09-19,2009-12-31,scenario.res_users_cfr,,Industrie und Gewerbe,,
slx_dataimport.buildingproject_-2144261546,"Objekt: ?, Offerte 2055507",,,,2006-09-19,2009-12-31,scenario.res_users_cfr,,Industrie und Gewerbe,,
slx_dataimport.buildingproject_-2144261544,"Objekt: ?, Offerte 2055510",,,,2006-09-19,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261542,"Kundenanlässe (Workshops, Events etc) mit Otto Fischer",,,,2006-09-21,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261541,Wohnsiedlung Leimbach,,,,2006-09-26,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261539,Wohnüberbauung am Katzenbach,,,,2006-09-27,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261537,"Objekt: ?, Offerte: 2055693",,,,2006-09-18,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261535,"Objekt: Valsecchi Bellerivestrasse 241, Auftragsnummer: 108141.0",,,,2005-09-01,2009-12-31,scenario.res_users_cfr,,,,
